kind	fact	file	line	matched_text
suspicious_suffix	noSpectralPollution	DASHI/Constants/Registry.agda	1807	      noSpectralPollutionPromoted ≡ false
suspicious_suffix	noSpectralPollution	DASHI/Constants/Registry.agda	2349	  ; noSpectralPollutionPromoted = false
suspicious_suffix	noSpectralPollution	DASHI/Physics/Closure/BalabanRGMassGapReceiptSurface.agda	171	      noSpectralPollutionNeedsBothH3aAndH3b ≡ true
suspicious_suffix_split	noSpectralPollution	DASHI/Physics/Closure/BalabanRGMassGapReceiptSurface.agda	194	    ; noSpectralPollutionNeedsBothH3aAndH3b = ||         true
suspicious_suffix	noSpectralPollution	DASHI/Physics/Closure/BalabanRGMassGapReceiptSurface.agda	3108	      noSpectralPollutionDischargedHere ≡ false
suspicious_suffix_split	noSpectralPollution	DASHI/Physics/Closure/BalabanRGMassGapReceiptSurface.agda	3151	    ; noSpectralPollutionDischargedHere = ||         false
suspicious_suffix	continuumYangMillsConstructed	DASHI/Physics/Closure/BalabanRGScaleTransferFrontierReceipt.agda	358	      continuumYangMillsConstructedHere ≡ false
suspicious_suffix_split	continuumYangMillsConstructed	DASHI/Physics/Closure/BalabanRGScaleTransferFrontierReceipt.agda	472	    ; continuumYangMillsConstructedHere = ||         false
suspicious_suffix	wightmanReconstruction	DASHI/Physics/Closure/CarrierFactorVecInjectivityOSPositivity.agda	119	      wightmanReconstructionAppliedHere ≡ false
suspicious_suffix	wightmanReconstruction	DASHI/Physics/Closure/CarrierFactorVecInjectivityOSPositivity.agda	143	      ClayTarget.wightmanReconstructionApplied existingClayTarget ≡ false
suspicious_suffix_split	wightmanReconstruction	DASHI/Physics/Closure/CarrierFactorVecInjectivityOSPositivity.agda	180	    ; wightmanReconstructionAppliedHere = ||         false
suspicious_suffix	noSpectralPollution	DASHI/Physics/Closure/CarrierMoscoConvergenceFromPhysicsReceipt.agda	176	      NSP.moscoGivesStrongResolvent noSpectralPollutionReceipt ≡ true
suspicious_suffix	noSpectralPollution	DASHI/Physics/Closure/CarrierMoscoConvergenceFromPhysicsReceipt.agda	179	      NSP.moscoGivesNormResolvent noSpectralPollutionReceipt ≡ true
suspicious_suffix	noSpectralPollution	DASHI/Physics/Closure/CarrierMoscoConvergenceFromPhysicsReceipt.agda	236	      noSpectralPollutionProvedHere ≡ false
suspicious_suffix_split	noSpectralPollution	DASHI/Physics/Closure/CarrierMoscoConvergenceFromPhysicsReceipt.agda	374	    ; noSpectralPollutionProvedHere = ||         false
suspicious_suffix	wightmanReconstruction	DASHI/Physics/Closure/CarrierOS3ReflectionPositivityReceipt.agda	142	      wightmanReconstructionPromoted ≡ false
suspicious_suffix_split	wightmanReconstruction	DASHI/Physics/Closure/CarrierOS3ReflectionPositivityReceipt.agda	225	    ; wightmanReconstructionPromoted = ||         false
suspicious_suffix	continuumYangMillsConstructed	DASHI/Physics/Closure/CarrierRenormalizationGroupScaleReceipt.agda	219	      continuumYangMillsConstructedHere ≡ false
suspicious_suffix_split	continuumYangMillsConstructed	DASHI/Physics/Closure/CarrierRenormalizationGroupScaleReceipt.agda	311	    ; continuumYangMillsConstructedHere = ||         false
suspicious_suffix	wightmanReconstruction	DASHI/Physics/Closure/CarrierSchwingerFunctionCauchyReceipt.agda	188	      wightmanReconstructionConstructed ≡ true
suspicious_suffix_split	wightmanReconstruction	DASHI/Physics/Closure/CarrierSchwingerFunctionCauchyReceipt.agda	262	  ; wightmanReconstructionConstructed = ||       false
suspicious_suffix	wightmanReconstruction	DASHI/Physics/Closure/ClayBothBlockerMapReceipt.agda	53	      OSStatus.wightmanReconstructionApplied osAxiomStatusReceipt ≡ false
suspicious_suffix	wightmanReconstruction	DASHI/Physics/Closure/ClayMillenniumClosureTargetReceipt.agda	188	      wightmanReconstructionApplied ≡ false
suspicious_suffix_split	wightmanReconstruction	DASHI/Physics/Closure/ClayMillenniumClosureTargetReceipt.agda	263	    ; wightmanReconstructionApplied = ||         false
suspicious_suffix	wightmanReconstruction	DASHI/Physics/Closure/ClayMillenniumClosureTargetReceipt.agda	534	      wightmanReconstructionApplied yangMillsTarget ≡ false
suspicious_suffix	wightmanReconstruction	DASHI/Physics/Closure/ClayYMProofRoadmapReceipt.agda	88	      Target.wightmanReconstructionApplied targetReceipt ≡ false
suspicious_suffix	wightmanReconstruction	DASHI/Physics/Closure/ClayYMProofRoadmapReceipt.agda	145	      wightmanReconstructionConstructed ≡ false
