lane	index_module	candidate_path	module	imported_by_count	in_everything_now?	pass0_action	pass2_action	pass3_move_policy
Margin	DASHI/Physics/Closure/Margin.agda	DASHI/Physics/Closure/StrictMarginImpliesAbsorptionReceipt.agda	DASHI.Physics.Closure.StrictMarginImpliesAbsorptionReceipt	6	yes	classified as margin grammar seed	import from index module only; no file move	old-path wrapper required before physical move
Margin	DASHI/Physics/Closure/Margin.agda	DASHI/Physics/Closure/UnifiedMarginInvariantReceipt.agda	DASHI.Physics.Closure.UnifiedMarginInvariantReceipt	5	yes	classified as margin grammar seed	import from index module only; no file move	old-path wrapper required before physical move
Margin	DASHI/Physics/Closure/Margin.agda	DASHI/Physics/Closure/MarginInvariantProgrammeFrontierReceipt.agda	DASHI.Physics.Closure.MarginInvariantProgrammeFrontierReceipt	4	unknown	classified as margin frontier seed	import from index module only; no file move	old-path wrapper required before physical move
NS	DASHI/Physics/Closure/NS.agda	DASHI/Physics/Closure/NSTailFluxAbsorptionMarginReceipt.agda	DASHI.Physics.Closure.NSTailFluxAbsorptionMarginReceipt	6	yes	classified as NS theta seed	import from index module only; no file move	old-path wrapper required before physical move
NS	DASHI/Physics/Closure/NS.agda	DASHI/Physics/Closure/EV5ThetaMarginUpgradeReceipt.agda	DASHI.Physics.Closure.EV5ThetaMarginUpgradeReceipt	1	unknown	classified as NS/EV5 seed	import from index module only; no file move	old-path wrapper required before physical move
NS	DASHI/Physics/Closure/NS.agda	DASHI/Physics/Closure/DashiCFDThetaRuntimeDiagnosticReceipt.agda	DASHI.Physics.Closure.DashiCFDThetaRuntimeDiagnosticReceipt	2	unknown	classified as NS runtime diagnostic seed	import from index module only; no file move	old-path wrapper required before physical move
YM	DASHI/Physics/Closure/YM.agda	DASHI/Physics/Closure/YMKPActivityRatioMarginReceipt.agda	DASHI.Physics.Closure.YMKPActivityRatioMarginReceipt	6	unknown	classified as YM rho seed	import from index module only; no file move	old-path wrapper required before physical move
YM	DASHI/Physics/Closure/YM.agda	DASHI/Physics/Closure/YMSamePrimeOverlapReductionReceipt.agda	DASHI.Physics.Closure.YMSamePrimeOverlapReductionReceipt	2	unknown	classified as YM Paper 3 seed	import from index module only; no file move	old-path wrapper required before physical move
YM	DASHI/Physics/Closure/YM.agda	DASHI/Physics/Closure/YMBTPathCountingKPThresholdReceipt.agda	DASHI.Physics.Closure.YMBTPathCountingKPThresholdReceipt	3	unknown	classified as YM Paper 3 seed	import from index module only; no file move	old-path wrapper required before physical move
YM	DASHI/Physics/Closure/YM.agda	DASHI/Physics/Closure/YMKPAbsorptionMarginThresholdReceipt.agda	DASHI.Physics.Closure.YMKPAbsorptionMarginThresholdReceipt	3	unknown	classified as YM Paper 3 seed	import from index module only; no file move	old-path wrapper required before physical move
YM	DASHI/Physics/Closure/YM.agda	DASHI/Physics/Closure/YMActualPolymerActivityDefinitionReceipt.agda	DASHI.Physics.Closure.YMActualPolymerActivityDefinitionReceipt	5	unknown	classified as YM Paper 3 seed	import from index module only; no file move	old-path wrapper required before physical move
YM	DASHI/Physics/Closure/YM.agda	DASHI/Physics/Closure/YMBalabanRGScaleTransferFrontierReceipt.agda	DASHI.Physics.Closure.YMBalabanRGScaleTransferFrontierReceipt	4	unknown	classified as YM Paper 3 seed	import from index module only; no file move	old-path wrapper required before physical move
YM	DASHI/Physics/Closure/YM.agda	DASHI/Physics/Closure/YMPaper3RoadmapReceipt.agda	DASHI.Physics.Closure.YMPaper3RoadmapReceipt	2	yes	classified as YM Paper 3 seed	import from index module only; no file move	old-path wrapper required before physical move
Gate3	DASHI/Physics/Closure/Gate3.agda	DASHI/Physics/Closure/Gate3NormDictionary.agda	DASHI.Physics.Closure.Gate3NormDictionary	10	yes	classified as Gate3 seed	import from index module only; no file move	high-use old-path wrapper required before physical move
Programme	DASHI/Physics/Closure/Programme.agda	DASHI/Physics/Closure/FullUnificationPublicationRoadmapReceipt.agda	DASHI.Physics.Closure.FullUnificationPublicationRoadmapReceipt	6	unknown	classified as publication roadmap seed	import from index module only; no file move	old-path wrapper required before physical move
Programme	DASHI/Physics/Closure/Programme.agda	DASHI/Physics/Closure/PublishableFullUnificationStackReceipt.agda	DASHI.Physics.Closure.PublishableFullUnificationStackReceipt	3	yes	classified as publishable stack seed	import from index module only; no file move	old-path wrapper required before physical move
