source_identity_reference	decision	decision_reference	reviewer_or_model_reference	reviewed	reason_codes
ERIC:ED042648	exclude	review-packet:5c67c9d5f827b5b6671d143ba80568df70758d1b55e5950e5e8382867a381e41	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	noRelevantReviewOrMethodRole
ERIC:EJ150579	exclude	review-packet:2463a80f25b9321c3795eb4f3d4a9acc2ca3526a1e81e36d14a0458af31875d9	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	noRelevantReviewOrMethodRole
ERIC:EJ395758	exclude	review-packet:8d5eb39beb85d5713efafb357fa65fe3c1eef2652c4526bdba2ae1858fa210c6	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	sustainabilityQuestionMismatch
ERIC:EJ320356	exclude	review-packet:42cbdc5c91a13dc5083486e5ae034f3fe7b5aadd115b3a92cc41e5c7d5765d67	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	interventionOrTechnologyMismatch
ERIC:ED049916	exclude	review-packet:87e36574ee7cf4f96770e34dc27198b952303becb1c7efe23fdf58673bb7ff93	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	interventionOrTechnologyMismatch
ERIC:ED458126	exclude	review-packet:a2b2d304f25a744b86d29ecbaa04421b355ffbec8977c4f4f18b0a625a737f3d	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	noRelevantReviewOrMethodRole
ERIC:ED182186	exclude	review-packet:216a0afce3c2624662276b74a6d31f1897005f999440c6dcf69330fbaf7eac50	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	sustainabilityQuestionMismatch
ERIC:EJ433521	unresolved	review-packet:8a89d3af85b1ed47b243c17e8673dc3b53baf5453664270cdc1c029496dd69cd	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	insufficientTitleAbstractEvidence
ERIC:EJ380918	exclude	review-packet:d23c8d64fd18bc913632ab42378ba877b96ca334f1a8c5cf0ddceb57531e940f	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	noRelevantReviewOrMethodRole
ERIC:EJ187344	exclude	review-packet:d9f0657d08696b4ed50caa4236ea637bd19c698cd7220f652eb82b87444cfc0c	reviewer:chatgpt-protocol-title-abstract-round1-2026-09-20	true	noRelevantReviewOrMethodRole
